CID,11970,441,83697,428,1145,68152,649,69217,444972,134505,1110,95433,65040,8369,439227,98681,10349,637511,77199,80654,7151,457,736715,72924,21059,1015,1923,1102,181976,135398661,127,68443,6441567,5312,10917,102526,1050,8468,10243,4250253,4765,439918,91588,1014,105024,6047,119226,79034,107738,439406,68310,81996,67678,916,11310,10465,27476,5281,79050,13945,65063,9700,6076,1794427,5280483,16219892,129316446,92043367,5171030,15556503,11073472,13000992,12209747,101624378,736190,671214,54301591,13011402,71309321,16213405,16212237,12530,16212357,61503,439655,444212,94715,10484,650,637090,1060,867,439194,240,244,10268,5280451,11579,12587,10972,798,65098,100714,192742,1044,126,8094,135,80642,78168,1551553,379,51,352294,11427,66308,1188,1183,967,71,12035,439268,4775,7012,873,1005,1175,21863,439774,2969,440667,14925,439373,979,68499,9378,59,724,94214,450272,450268,10690,736172,5699,709625,152323,31404,439167,29981063,91493,5280450,5281125,172313,5281417,6134,135398640,6132,6031,6176,6133,439531,69362,825,750,5950,289,62453,1000,70122,196,675,187,22880,150923,1983,12122,10383,385,637542,397,439213,24154,1738,445858,8617,439958,1130,5280934,135398597,5283468,10883523,5280353,5893,10419891,535,10111,2724705,227,5801,5280523,641298,193872,1669,444718,1549098,66535,18189,978,119,61840,500,96215,70,6723,17513,65110,144,1029,18986,445408,16757,93556,439182,439176,7045767,190,60961,101812,199,92136,25561,6322,93078,6267,5960,247,171548,273,84290,439224,305,444539,9750,114935,586,588,439258,5862,6175,53481030,13804,597,12599,725,13711,13712,445027,2337,643975,6995182,370,440997,72361,33032,5961,2526,11163,135398635,135398570,135398631,464,774,6274,165271,9085,65072,778,790,800,10685,802,5355219,92904,3744,803,135398641,546304,168381,439283,5326566,5962,525,896,6137,487,903,88064,65065,185,70912,6180,74839,5462244,439197,122356,2002,99715,192590,88412,439377,64950,673,92180,440120,936,99478,106,7018721,6262,985,6613,13849,999,92258,68144,6140,8988,135398660,1045,1052,1054,1057,499,6508,493570,439155,5951,657272,1103,91486,10457,6453952,10742,1123,6288,5789,1135,5526,5570,1150,6305,5610,6057,1174,6029,6030,6287,64959,73323
11970,100,23,28,6,4,18,12,9,27,11,24,25,12,28,25,16,27,55,27,46,40,33,23,33,29,9,44,7,25,6,93,65,23,34,20,89,45,71,46,34,62,21,55,10,20,72,70,34,18,22,71,37,18,11,64,34,13,34,31,17,18,19,12,67,58,25,20,21,41,19,26,66,40,53,60,60,42,35,35,35,68,35,35,19,23,40,27,10,15,28,20,19,18,58,69,48,25,28,29,14,30,23,16,24,7,77,33,83,56,20,39,35,26,16,21,23,9,67,21,29,16,21,77,77,92,21,11,43,46,35,25,30,27,90,36,84,17,17,20,50,67,28,71,61,52,57,75,17,70,27,46,44,19,58,21,13,17,18,17,18,19,26,22,15,17,68,79,63,16,30,26,14,21,45,55,89,61,33,83,35,18,18,73,68,42,24,20,46,13,42,37,39,26,79,21,2,20,61,55,30,70,19,61,74,15,17,19,61,21,38,20,20,30,47,14,13,48,25,45,20,77,13,12,12,18,6,13,12,7,25,20,21,56,20,21,14,24,8,23,21,11,67,20,37,15,8,19,16,18,17,17,12,12,18,18,19,26,56,26,17,73,17,17,22,22,13,15,14,13,13,53,10,21,16,24,23,20,9,35,35,42,37,40,41,41,14,19,26,28,29,26,23,38,19,20,43,17,20,20,24,17,60,20,25,11,39,18,24,17,21,33,16,11,23,33,17,16,20,23,34,21,35,81,56,58,66,21,11,7,43,43,63,19,35,36,15,16,14,7,21,35,28,67,6,20,20,16,35,41,30,40,71,79,15,19,18,22,14,13
441,23,100,67,16,15,78,22,20,40,25,61,64,18,37,36,38,61,18,60,12,14,11,13,27,39,26,8,16,79,6,23,19,32,54,69,23,16,19,13,41,15,41,12,30,51,18,18,59,53,47,19,13,39,25,15,52,17,52,57,24,25,27,14,21,18,38,69,45,17,45,45,23,13,18,20,20,13,54,21,54,20,54,54,69,75,40,52,30,48,42,60,64,72,18,21,27,33,65,61,33,4,48,47,74,5,20,58,21,22,30,47,54,52,50,65,62,10,18,24,53,36,45,27,26,23,36,16,17,40,54,53,50,57,22,14,26,62,62,45,20,17,63,22,15,18,20,16,41,20,55,41,42,40,18,39,16,23,24,23,24,35,80,43,38,44,17,16,20,23,58,5,41,42,12,16,22,20,54,22,9,32,32,20,20,14,48,12,42,17,46,27,15,11,20,48,9,40,18,13,56,17,37,14,31,33,23,45,18,52,48,46,17,59,18,18,17,12,47,13,28,27,25,16,15,53,4,14,14,16,39,35,38,19,41,43,38,26,17,33,15,38,23,35,14,34,20,41,37,25,22,23,16,14,47,26,27,32,18,11,39,19,29,30,41,39,48,32,17,16,16,18,6,17,13,37,35,45,10,10,10,13,11,16,13,13,17,37,43,39,8,42,75,9,45,66,10,40,38,36,36,37,21,33,31,26,13,36,35,40,39,11,43,6,35,9,55,48,32,43,52,45,54,26,19,19,23,37,10,18,13,14,17,31,44,16,18,55,41,15,40,52,33,20,15,71,29,22,37,13,5,13,14,20,19,26,24,50,16,16
83697,28,67,100,13,12,51,20,18,33,22,50,75,18,37,38,33,61,22,76,15,17,14,12,26,38,22,11,13,65,5,29,20,30,54,50,30,18,25,16,50,16,35,17,26,43,25,22,59,39,40,23,16,34,21,18,52,18,52,60,26,27,30,15,28,24,39,50,46,17,39,57,28,16,22,25,25,16,55,28,55,25,55,55,72,65,37,55,25,39,35,56,42,63,23,26,24,29,65,77,29,6,50,33,72,4,25,58,26,27,26,43,55,59,37,68,65,9,25,22,60,31,46,33,34,28,40,14,20,47,55,56,60,60,30,16,36,56,56,46,27,21,66,30,18,21,24,20,43,25,58,42,44,41,22,41,18,25,25,24,25,37,61,44,32,37,21,21,24,20,59,7,35,36,17,17,27,19,55,26,11,34,34,26,26,17,51,13,43,18,50,34,19,14,25,44,7,41,22,14,72,21,39,20,43,29,25,39,22,44,62,40,16,82,20,19,18,15,48,16,31,33,26,17,16,39,4,16,15,13,41,36,40,23,36,37,32,27,17,33,17,32,26,37,17,30,17,35,32,27,24,25,14,16,40,27,29,34,22,14,35,25,31,32,43,41,43,28,19,17,18,22,6,18,14,38,37,38,9,13,13,16,13,22,17,18,18,39,38,41,10,44,65,11,39,51,13,34,34,38,46,33,26,37,37,23,16,32,37,34,40,14,36,6,36,13,40,34,34,44,52,46,55,32,24,23,28,38,9,15,16,16,19,33,59,19,19,39,38,13,37,53,35,25,13,51,32,21,47,17,7,16,18,25,17,28,26,50,18,17
428,6,16,13,100,28,16,38,29,13,37,15,16,33,11,28,35,16,9,15,18,7,12,13,23,13,45,6,69,14,15,6,8,26,14,23,6,7,5,6,24,6,30,12,28,39,13,12,14,22,33,13,10,39,47,5,14,12,14,11,18,17,16,10,4,7,17,23,13,16,34,34,17,10,14,15,15,9,14,8,14,6,14,14,14,12,10,10,17,20,13,16,16,13,7,8,5,26,16,16,32,11,37,35,14,14,5,15,5,4,23,12,14,12,29,13,13,12,5,20,14,30,13,8,7,6,12,18,10,8,14,9,14,10,6,12,6,12,12,12,13,11,11,5,7,17,16,7,12,5,10,11,11,11,4,11,11,17,17,17,17,10,16,25,41,41,6,7,17,25,17,10,27,31,11,11,6,7,15,7,11,25,25,5,5,10,10,10,11,11,9,9,9,7,14,29,36,11,10,11,12,6,32,13,7,32,17,34,10,43,13,34,13,15,7,12,11,9,30,8,17,8,38,11,11,22,13,11,10,62,31,27,32,15,39,34,30,21,77,28,13,33,8,30,9,30,29,35,36,19,17,16,33,11,30,19,19,25,10,7,27,4,22,23,33,34,17,36,11,10,11,14,18,14,15,31,30,36,13,10,10,9,10,9,10,9,12,32,18,34,8,36,12,9,34,15,9,34,28,26,27,27,15,18,17,48,10,31,28,34,29,13,28,15,34,11,34,34,25,37,14,24,14,7,15,16,17,29,13,85,10,7,6,24,9,10,11,36,24,64,32,15,25,4,43,34,17,27,29,7,12,10,17,14,31,18,17,38,11,10
1145,4,15,12,28,100,11,18,23,9,15,11,15,20,10,17,23,15,6,14,12,7,9,7,13,12,22,5,29,10,11,4,4,19,12,25,5,6,4,5,11,4,17,8,35,20,6,6,10,24,15,8,6,16,26,4,13,9,13,10,12,12,13,7,3,6,18,25,9,9,18,18,8,6,9,7,7,5,13,7,13,5,13,13,13,8,7,7,20,19,12,15,11,9,5,6,3,12,15,15,23,5,19,16,11,6,3,14,3,3,13,11,13,8,20,12,10,7,4,10,10,20,9,5,6,4,8,11,6,6,13,6,10,8,4,6,4,8,8,11,8,7,8,4,4,10,10,6,9,4,7,10,10,8,3,8,7,11,11,11,11,7,15,15,21,20,4,5,8,24,12,6,34,21,7,7,4,6,11,5,6,11,11,4,5,6,7,8,10,7,8,8,6,5,7,13,36,8,5,5,11,5,21,7,5,14,11,22,5,19,12,20,7,13,6,8,7,5,13,5,13,5,22,8,8,24,7,7,7,25,14,17,16,8,15,14,38,12,25,18,7,42,6,16,5,27,26,15,15,12,11,12,18,7,34,13,13,15,6,5,18,3,10,11,15,14,13,21,7,7,7,9,9,7,8,15,16,16,8,6,6,5,6,5,6,5,7,21,19,14,5,15,8,6,18,13,6,22,19,18,18,18,10,12,11,29,6,18,17,22,19,8,36,8,23,7,18,15,16,16,13,16,13,5,8,10,8,17,8,26,7,7,4,14,7,7,7,15,26,27,16,11,15,4,20,18,14,18,13,7,6,6,8,7,16,12,11,20,7,7
68152,18,78,51,16,11,100,23,19,43,24,59,50,16,34,31,36,51,17,47,10,11,8,13,28,34,27,7,13,65,4,19,16,29,42,54,18,12,15,11,32,13,35,9,26,42,15,14,53,40,42,14,10,39,21,11,43,12,43,44,19,20,21,11,17,13,27,54,36,16,37,37,19,11,16,17,17,11,45,16,45,16,45,45,68,65,37,43,33,44,42,63,81,78,17,18,25,36,51,51,33,4,40,56,60,4,17,48,18,19,32,38,45,46,48,50,50,9,14,25,44,33,36,23,21,18,38,16,14,32,45,46,44,47,18,12,21,65,65,34,18,14,52,17,12,17,18,11,33,16,45,33,35,32,15,32,13,18,19,18,19,28,64,34,45,48,14,13,15,20,52,3,38,34,9,12,18,15,48,18,7,26,26,16,16,11,38,9,34,13,35,19,12,9,16,46,7,32,16,11,44,13,32,11,25,38,18,37,16,46,40,41,15,46,15,14,14,10,37,10,22,23,22,12,11,40,4,11,10,13,34,28,33,16,36,40,35,22,15,29,13,34,22,31,11,31,18,35,43,20,18,18,16,11,38,20,22,26,14,9,32,16,24,24,36,34,45,31,14,13,13,16,5,14,11,32,31,39,9,8,9,11,10,12,11,11,14,32,32,34,7,37,65,6,37,70,8,37,31,29,30,30,17,26,24,22,10,30,29,34,32,8,40,4,27,8,53,52,26,38,43,34,45,22,16,17,19,32,10,15,10,11,15,29,35,12,14,65,33,12,30,46,28,15,17,55,23,20,32,11,3,11,11,16,19,21,19,41,13,13
649,12,22,20,38,18,23,100,65,21,37,25,22,44,20,44,56,23,13,22,27,16,22,23,40,19,32,11,46,20,22,12,13,44,20,32,11,14,9,14,28,10,38,18,29,38,17,16,20,31,34,24,16,39,62,9,20,20,20,17,31,39,39,18,9,13,25,32,18,23,35,35,22,16,27,20,20,15,21,15,21,11,21,21,22,20,18,18,20,30,20,24,24,20,14,10,11,34,23,23,51,13,37,36,21,22,12,22,11,10,57,19,21,21,46,20,20,34,10,45,21,46,18,14,13,12,17,48,20,15,21,16,21,17,12,24,11,19,19,17,25,22,18,9,14,29,30,9,14,10,16,17,18,13,8,16,24,30,38,30,38,15,23,35,38,40,11,9,18,55,23,14,33,43,20,20,11,10,22,11,18,26,26,10,10,16,16,18,17,24,15,11,16,16,18,34,22,16,16,14,18,11,51,15,13,34,30,54,15,41,20,40,26,21,13,23,22,14,32,13,41,14,91,20,19,31,22,20,18,38,33,45,38,28,45,40,35,40,36,46,27,30,14,53,13,41,46,36,37,32,29,29,44,19,40,34,43,47,15,18,43,10,24,25,34,39,16,51,25,24,24,27,23,24,22,37,53,37,30,16,14,15,16,15,16,15,26,51,27,35,21,37,20,16,35,24,17,51,49,44,44,45,28,35,32,63,18,51,45,54,39,24,34,22,41,22,35,33,42,38,20,42,21,14,27,30,22,39,32,37,15,13,10,43,16,23,21,37,26,44,28,21,43,9,29,35,42,67,33,17,14,16,17,18,67,41,38,38,27,26
69217,9,20,18,29,23,19,65,100,19,37,21,20,42,18,34,53,21,11,20,22,12,17,25,33,18,30,8,35,17,25,9,11,42,18,30,10,10,8,10,24,8,34,14,33,36,14,14,17,30,30,22,16,34,52,8,19,22,19,16,31,39,39,18,7,11,25,30,13,21,33,33,18,15,23,17,17,14,19,14,19,9,19,19,20,17,15,13,23,27,20,21,19,17,10,8,11,32,21,21,57,13,35,31,17,20,9,20,9,10,46,17,19,18,46,18,16,32,8,45,17,46,13,11,11,9,16,56,20,11,19,16,17,17,9,18,9,15,15,14,22,19,15,8,12,28,27,8,15,8,13,16,16,15,6,12,25,30,38,30,38,13,21,36,38,38,9,7,14,55,19,16,38,39,20,18,9,9,18,10,17,20,20,8,9,15,14,17,16,26,14,11,17,15,16,32,25,15,13,12,17,10,49,13,10,30,30,46,13,34,18,36,26,20,10,26,25,14,28,13,41,11,63,21,20,30,20,20,18,32,29,43,34,26,36,33,46,41,30,44,28,35,12,46,13,51,67,32,32,32,29,30,39,19,38,34,43,51,13,17,41,8,19,19,30,35,14,60,27,25,25,23,24,25,23,33,46,32,30,14,13,14,15,13,14,14,26,49,25,31,19,33,17,16,33,22,17,51,44,42,42,43,26,28,26,57,19,44,43,51,37,17,45,21,39,16,33,29,44,33,19,35,19,11,24,26,18,41,27,31,12,10,8,45,12,21,20,32,28,33,26,18,39,8,26,33,42,56,26,13,13,15,14,16,58,41,38,36,27,26
444972,27,40,33,13,9,43,21,19,100,21,50,40,21,50,26,32,44,28,38,17,19,15,25,46,48,22,12,14,38,7,27,22,44,37,30,26,14,24,18,23,24,32,15,23,34,22,21,35,27,32,22,12,35,21,20,35,11,35,30,20,24,21,10,23,23,22,30,25,23,31,31,24,14,25,22,22,14,36,25,36,26,36,36,39,38,65,27,27,37,90,44,48,40,26,25,32,75,40,40,32,8,33,36,39,7,26,39,30,27,31,64,36,40,29,33,28,12,21,50,38,28,25,29,27,27,59,22,22,41,36,28,38,29,28,18,26,35,35,24,24,24,31,21,21,29,24,20,24,21,28,42,43,23,21,23,12,19,23,19,23,20,40,24,39,36,26,23,21,34,45,7,30,31,14,20,26,21,42,33,11,19,19,22,28,14,23,10,42,12,36,21,18,11,24,37,6,23,26,20,32,23,29,17,26,32,20,31,26,37,33,33,16,37,16,13,12,14,26,13,22,29,20,10,9,27,6,10,9,14,31,26,28,21,30,35,33,19,15,26,14,23,42,26,14,30,18,32,32,21,19,19,25,10,33,22,26,22,22,9,26,25,17,18,32,29,27,30,12,12,12,25,8,15,11,27,26,32,12,11,10,14,20,13,14,14,12,29,22,31,10,31,38,11,31,47,13,31,28,27,25,26,22,19,18,22,13,27,25,31,29,15,37,9,25,15,33,31,24,31,35,25,36,28,21,23,24,27,14,16,12,12,24,25,25,12,12,32,23,13,19,40,26,22,15,31,23,28,27,19,8,14,20,24,33,25,23,33,12,11
